"Count";"NC_Id";"Species";"Domain";"Realm";"Phylum";"Subphylum";"Class";"Order";"Suborder";"Family";"Subfamily";"Genus"
66;"NC_027396.1";"Streptococcus phage SpSL1";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
67;"NC_027332.1";"Acinetobacter phage YMC13/03/R2096";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";NA;NA
68;"NC_027341.1";"Lactococcus phage WRP3";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
69;"NC_027397.1";"Vibrio phage QH";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Podoviridae";NA;"Enhodamvirus"
70;"NC_027393.1";"Vibrio phage J2";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Podoviridae";NA;"Enhodamvirus"
71;"NC_027337.1";"Escherichia phage vB_EcoM-VpaE1";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";"Ounavirinae";"Felixounavirus"
72;"NC_027381.1";"Escherichia phage Pollock";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Podoviridae";NA;"Ithacavirus"
73;"NC_027331.1";"Citrobacter phage Moon";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";"Tevenvirinae";"Moonvirus"
74;"NC_027358.1";"Leuconostoc phage Ln-9";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";"Mccleskeyvirinae";"Unaquatrovirus"
75;"NC_027377.1";"Leuconostoc phage Ln-8";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";"Mccleskeyvirinae";"Unaquatrovirus"
76;"NC_027384.1";"Pseudomonas phage H70";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Casadabanvirus"
77;"NC_027375.1";"Pseudomonas phage vB_PaeP_PPA-ABTNL";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Podoviridae";"Autographivirinae";"Phikmvvirus"
78;"NC_027398.1";"Enterobacteria phage Sf101";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Podoviridae";NA;"Lederbergvirus"
79;"NC_027349.1";"Escherichia phage HY01";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";"Tevenvirinae";"Tequatrovirus"
80;"NC_027339.1";"Enterobacteria phage SfI";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";NA;NA
81;"NC_027402.1";"Salmonella phage SPN3US";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";NA;"Seoulvirus"
82;"NC_027354.1";"Propionibacterium phage PHL301M00";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Pahexavirus"
83;"NC_027370.1";"Propionibacterium phage PHL179M00";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Pahexavirus"
84;"NC_027346.1";"Propionibacterium phage PHL171M01";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Pahexavirus"
85;"NC_027386.1";"Propionibacterium phage PHL152M00";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Pahexavirus"
86;"NC_027389.1";"Propionibacterium phage PHL141N00";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Pahexavirus"
87;"NC_027367.1";"Propionibacterium phage PHL132N00";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Pahexavirus"
88;"NC_027362.1";"Propionibacterium phage PHL116M00";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Pahexavirus"
89;"NC_027401.1";"Propionibacterium phage PHL095N00";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Pahexavirus"
90;"NC_027385.1";"Propionibacterium phage PHL092M00";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Pahexavirus"
91;"NC_027361.1";"Propionibacterium phage PHL085N00";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Pahexavirus"
92;"NC_027359.1";"Propionibacterium phage PHL082M00";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Pahexavirus"
93;"NC_027333.1";"Propionibacterium phage PHL070N00";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Pahexavirus"
94;"NC_027400.1";"Propionibacterium phage PHL055N00";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Pahexavirus"
95;"NC_027391.1";"Propionibacterium phage PHL041M10";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Pahexavirus"
96;"NC_027373.1";"Propionibacterium phage PHL030N00";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Pahexavirus"
97;"NC_027357.1";"Propionibacterium phage PHL025M00";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Pahexavirus"
98;"NC_027336.1";"Propionibacterium phage PHL009M11";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Pahexavirus"
99;"NC_027428.1";"Beauveria bassiana RNA virus 1";"Viruses";"Riboviria";NA;NA;NA;NA;NA;NA;NA;NA
100;"NC_027426.1";"Astrovirus Er/SZAL6/HUN/2011";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Astroviridae";NA;NA
101;"NC_027427.1";"Ustilaginoidea virens unassigned RNA virus HNND-1";"Viruses";"Riboviria";NA;NA;NA;NA;NA;NA;NA;NA
102;"NC_027430.1";"Gyrovirus GyV8";"Viruses";NA;NA;NA;NA;NA;NA;"Anelloviridae";NA;"Gyrovirus"
103;"NC_027529.1";"Rhizoctonia solani RNA virus HN008";"Viruses";NA;NA;NA;NA;NA;NA;NA;NA;NA
104;"NC_027637.1";"Gokushovirinae Bog8989_22";"Viruses";NA;NA;NA;NA;NA;NA;"Microviridae";"Gokushovirinae";NA
105;"NC_027636.1";"Gokushovirinae Bog5712_52";"Viruses";NA;NA;NA;NA;NA;NA;"Microviridae";"Gokushovirinae";NA
106;"NC_027635.1";"Microviridae Bog5275_51";"Viruses";NA;NA;NA;NA;NA;NA;"Microviridae";NA;NA
107;"NC_027634.1";"Microviridae Bog1249_12";"Viruses";NA;NA;NA;NA;NA;NA;"Microviridae Bog1249_12";NA;NA
108;"NC_027633.1";"Gokushovirinae Bog1183_53";"Viruses";NA;NA;NA;NA;NA;NA;"Microviridae";"Gokushovirinae";NA
109;"NC_027648.1";"Microviridae Fen7940_21";"Viruses";NA;NA;NA;NA;NA;NA;"Microviridae";NA;NA
110;"NC_027647.1";"Microviridae Fen7918_21";"Viruses";NA;NA;NA;NA;NA;NA;"Microviridae";NA;NA
111;"NC_027646.1";"Microviridae Fen7895_21";"Viruses";NA;NA;NA;NA;NA;NA;"Microviridae";NA;NA
112;"NC_027645.1";"Gokushovirinae Fen7875_21";"Viruses";NA;NA;NA;NA;NA;NA;"Microviridae";"Gokushovirinae";NA
113;"NC_027644.1";"Microviridae Fen7786_21";"Viruses";NA;NA;NA;NA;NA;NA;"Microviridae";NA;NA
114;"NC_027643.1";"Microviridae Fen685_11";"Viruses";NA;NA;NA;NA;NA;NA;"Microviridae";NA;NA
115;"NC_027642.1";"Gokushovirinae Fen672_31";"Viruses";NA;NA;NA;NA;NA;NA;"Microviridae";"Gokushovirinae";NA
116;"NC_027641.1";"Microviridae Fen4707_41";"Viruses";NA;NA;NA;NA;NA;NA;"Microviridae";NA;NA
117;"NC_027640.1";"Microviridae Fen418_41";"Viruses";NA;NA;NA;NA;NA;NA;"Microviridae";NA;NA
118;"NC_027639.1";"Microviridae Fen2266_11";"Viruses";NA;NA;NA;NA;NA;NA;"Microviridae";NA;NA
119;"NC_027638.1";"Microviridae Bog9017_22";"Viruses";NA;NA;NA;NA;NA;NA;"Microviridae";NA;NA
120;"NC_027702.1";"Trichomonas vaginalis virus dsRNA satellite S1";"Viruses";NA;NA;NA;NA;NA;NA;NA;NA;NA
121;"NC_027708.1";"Skunk adenovirus PB1";"Viruses";NA;NA;NA;NA;NA;NA;"Adenoviridae";NA;"Mastadenovirus"
122;"NC_027707.1";"Salmon gill poxvirus";"Viruses";NA;NA;NA;NA;NA;NA;"Poxviridae";NA;NA
123;"NC_027821.1";"Gemycircularvirus gemy-ch-rat1";"Viruses";NA;NA;NA;NA;NA;NA;"Genomoviridae";NA;"Gemycircularvirus"
124;"NC_030690.1";"Canary bornavirus 1";"Viruses";"Riboviria";"Negarnaviricota";"Haploviricotina";"Monjiviricetes";"Mononegavirales";NA;"Bornaviridae";NA;"Orthobornavirus"
125;"NC_027923.1";"Perigonia lusca single nucleopolyhedrovirus";"Viruses";NA;NA;NA;NA;NA;NA;"Baculoviridae";NA;"Alphabaculovirus"
126;"NC_027917.1";"Opsiphanes invirae iflavirus 1";"Viruses";"Riboviria";NA;NA;NA;"Picornavirales";NA;"Iflaviridae";NA;NA
127;"NC_027926.1";"Tomato necrotic dwarf virus";"Viruses";"Riboviria";NA;NA;NA;"Picornavirales";NA;"Secoviridae";NA;NA
128;"NC_027927.1";"Tomato necrotic dwarf virus";"Viruses";"Riboviria";NA;NA;NA;"Picornavirales";NA;"Secoviridae";NA;NA
129;"NC_027988.2";"Citrobacter phage CVT22";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Podoviridae";NA;NA
130;"NC_027991.1";"Staphylococcus phage SA1";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";NA;NA
131;"NC_027982.1";"Lactobacillus phage phiPYB5";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
132;"NC_028044.1";"Maize-associated totivirus 1";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Totiviridae";NA;NA
133;"NC_028045.1";"Tadarida brasiliensis circovirus 1";"Viruses";NA;NA;NA;NA;NA;NA;"Circoviridae";NA;"Circovirus"
134;"NC_028132.1";"Apple hammerhead viroid-like circular RNA";"Viruses";"Riboviria";NA;NA;NA;NA;NA;NA;NA;NA
135;"NC_028131.1";"Grapevine latent viroid";"Viruses";"Riboviria";NA;NA;NA;NA;NA;NA;NA;NA
136;"NC_030688.1";"Parrot bornavirus 4";"Viruses";"Riboviria";"Negarnaviricota";"Haploviricotina";"Monjiviricetes";"Mononegavirales";NA;"Bornaviridae";NA;"Orthobornavirus"
137;"NC_028380.1";"Chicken sicinivirus JSY";"Viruses";"Riboviria";NA;NA;NA;"Picornavirales";NA;"Picornaviridae";NA;"Sicinivirus"
138;"NC_028377.1";"Wenling shark virus";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Flaviviridae";NA;"Hepacivirus"
139;"NC_028448.1";"Escherichia phage slur14";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";"Tevenvirinae";"Tequatrovirus"
140;"NC_028449.1";"Escherichia phage PA2";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Podoviridae";"Sepvirinae";"Oslovirus"
141;"NC_028242.1";"Colletotrichum higginsianum non-segmented dsRNA virus 1";"Viruses";"Riboviria";NA;NA;NA;NA;NA;NA;NA;NA
142;"NC_028248.1";"Escherichia phage slur16";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";"Vequintavirinae";"Vequintavirus"
143;"NC_028257.1";"Yellowstone Lake virophage 7";"Viruses";NA;NA;NA;NA;NA;NA;NA;NA;NA
144;"NC_028270.1";"Yellowstone Lake virophage 6";"Viruses";NA;NA;NA;NA;NA;NA;"Lavidaviridae";NA;NA
145;"NC_028269.1";"Yellowstone Lake virophage 5";"Viruses";NA;NA;NA;NA;NA;NA;"Lavidaviridae";NA;NA
146;"NC_028491.1";"Diatraea saccharalis granulovirus";"Viruses";NA;NA;NA;NA;NA;NA;"Baculoviridae";NA;"Betabaculovirus"
147;"NC_028462.1";"Blueberry fruit drop associated virus";"Viruses";NA;NA;NA;NA;"Ortervirales";NA;"Caulimoviridae";NA;NA
148;"NC_028461.1";"Epizootic haematopoietic necrosis virus";"Viruses";NA;NA;NA;NA;NA;NA;"Iridoviridae";"Alphairidovirinae";"Ranavirus"
149;"NC_023339.1";"Eggplant mottled crinkle virus";"Viruses";"Riboviria";NA;NA;NA;NA;NA;"Tombusviridae";"Procedovirinae";"Tombusvirus"
150;"NC_028652.1";"Pseudomonas phage C11";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";NA;"Pakpunavirus"
151;"NC_028660.1";"Escherichia phage phi191";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Podoviridae";"Sepvirinae";"Oslovirus"
152;"NC_028656.1";"Enterobacteria phage VT2phi_272";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Podoviridae";"Sepvirinae";"Oslovirus"
153;"NC_028697.1";"Streptococcus phage A25";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
154;"NC_028679.1";"Acinetobacter phage vB_AbaP_PD-AB9";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Podoviridae";"Autographivirinae";"Friunavirus"
155;"NC_028684.1";"Acinetobacter phage vB_AbaP_PD-6A3";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Podoviridae";"Autographivirinae";"Friunavirus"
156;"NC_028669.1";"Staphylococcus phage phiJB";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Phietavirus"
157;"NC_028692.1";"Arthrobacter phage Decurro";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Decurrovirus"
158;"NC_028686.1";"Klebsiella phage JD18";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";"Tevenvirinae";"Jiaodavirus"
159;"NC_028653.1";"Gordonia phage GTE8";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
160;"NC_028665.1";"Gordonia phage GTE6";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
161;"NC_028701.2";"Salmonella phage SEN5";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";"Peduovirinae";"Peduovirus"
162;"NC_028699.1";"Salmonella phage SEN34";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";NA;NA
163;"NC_028696.2";"Salmonella phage SEN22";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Podoviridae";NA;"Lederbergvirus"
164;"NC_028673.1";"Gordonia phage GMA7";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Getseptimavirus"
165;"NC_028668.1";"Gordonia phage GMA3";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
166;"NC_028676.1";"Sinorhizobium phage phiM9";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Ackermannviridae";NA;NA
167;"NC_028663.1";"Cyanophage P-TIM40";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Myoviridae";NA;NA
168;"NC_028694.1";"Propionibacterium phage PA1-14";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Pahexavirus"
169;"NC_028667.1";"Pseudomonas phage vB_PaeS_PM105";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Beetrevirus"
170;"NC_028655.1";"Yersinia phage vB_YenP_AP10";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Podoviridae";"Autographivirinae";"Teseptimavirus"
171;"NC_028688.1";"Klebsiella phage vB_Kp1";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Podoviridae";"Autographivirinae";"Przondovirus"
172;"NC_028662.1";"Mycobacterium phage Phlei";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;"Fromanvirus"
173;"NC_028685.1";"Shigella phage Ss-VASD";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Podoviridae";"Sepvirinae";"Oslovirus"
174;"NC_028702.1";"Delftia phage IME-DE1";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Podoviridae";"Autographivirinae";NA
175;"NC_028666.1";"Streptococcus phage Str-PAP-1";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
176;"NC_028675.1";"Acinetobacter phage phiAB1";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Podoviridae";"Autographivirinae";"Friunavirus"
177;"NC_028700.1";"Streptococcus phage T12";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
178;"NC_028661.1";"Pseudomonas phage PPPL-1";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Podoviridae";"Autographivirinae";"Teseptimavirus"
179;"NC_028657.1";"Pseudomonas phage YMC11/02/R656";"Viruses";NA;NA;NA;NA;"Caudovirales";NA;"Siphoviridae";NA;NA
